417,968
573,792
605,462
433,657
315,750
561,402
608,670
487,177
191,692
308,194
895,408
909,700
757,941
541,157
598,617
524,890
906,323
598,235
141,476
822,532
162,324
900,330
443,642
362,411
126,232
84,996
603,235
897,935
983,655
943,432
406,538
656,848
111,553
587,772
988,8
481,867
847,886
602,788
743,840
79,831
412,482
130,181
928,736
895,966
703,735
174,164
758,914
58,270
254,430
936,208
437,732
275,595
577,988
166,388
130,797
767,233
923,65
155,403
532,756
568,544
265,505
379,672
843,360
901,932
124,672
676,697
251,202
139,157
798,441
809,378
77,402
239,628
542,739
391,525
901,45
920,121
401,61
932,438
642,767
31,972
982,444
311,82
462,763
484,199
447,179
500,597
554,855
878,228
796,539
504,377
382,465
897,277
563,465
388,102
11,454
436,504
543,776
299,377
50,152
964,916
536,350
161,470
986,212
616,891
499,73
676,87
905,348
276,997
652,632
117,510
490,120
813,587
400,566
760,893
673,893
307,563
283,291
243,974
929,741
297,419
659,745
840,744
662,186
709,433
536,607
950,348
451,390
757,336
2,358
906,246
517,189
651,842
23,184
387,325
141,91
600,30
445,898
303,758
184,650
977,29
189,449
650,466
858,782
522,337
879,132
363,565
447,64
780,696
248,960
218,582
780,166
658,763
567,864
486,535
837,3
579,157
623,740
57,939
884,819
139,24
535,700
956,454
285,521
339,830
753,654
157,176
751,95
530,476
104,171
866,45
305,505
996,143
137,936
751,209
791,985
861,903
26,564
155,783
785,695
447,496
137,899
605,192
243,379
495,368
322,384
294,241
797,878
336,707
604,448
397,984
163,817
467,247
933,99
350,670
31,73
158,414
624,849
467,869
155,247
254,763
377,651
145,270
133,206
512,808
273,757
831,982
236,609
510,591
292,894
803,938
824,338
269,910
920,254
189,383
150,940
380,77
296,582
97,874
118,975
347,398
306,417
956,209
642,809
440,291
265,464
678,605
238,246
657,258
568,364
900,641
614,673
352,930
770,784
857,380
577,531
356,308
156,155
126,354
735,53
402,75
210,253
958,838
245,191
108,788
163,448
745,638
297,475
727,796
103,623
84,259
758,654
341,793
581,371
468,123
978,477
363,848
51,677
969,939
415,83
27,93
543,829
390,582
886,66
905,693
184,786
973,299
793,249
95,929
39,507
160,310
205,112
884,944
80,793
231,647
274,104
863,62
933,12
263,821
124,716
251,317
869,979
777,79
486,640
760,313
367,190
966,554
770,722
576,247
511,224
118,454
831,394
838,352
79,338
103,696
838,159
373,50
777,267
278,948
920,800
768,240
91,176
352,766
665,531
444,391
10,309
911,748
78,496
397,104
978,665
41,590
794,918
224,299
25,111
773,912
61,492
850,877
643,197
27,746
